analysis_dataset_id,dataset,N,human_count_status,mean_contexts_per_unit,hu_original_expectedness_r,qwen_x_but_not_y_r,qwen_no_frame_r,qwen_set_r,qwen_ordering_r,qwen_disjunction_r,qwen_conjunction_r
hu_rx22,Hu: Ronai & Xiang (2022),57,exact,1.0,0.3607049778615833,0.36456352159544586,0.14222211807879387,0.13197441931710635,0.16473986764391169,0.1752557667439651,0.1548104115510669
hu_pvt21,Hu: Pankratz & van Tiel (2021),50,rate_only,1.0,0.17985967831267793,0.2117811269301235,-0.019157858748061717,-0.023042687237858517,-0.058844272780502624,-0.0502828250614435,-0.029173248538789106
hu_g18,Hu: Gotzner et al. (2018),67,rate_only,1.0,0.053135193359448996,-0.014898292140947376,0.04492444620943757,0.05822687078594709,0.04921184180596728,0.0661918069628279,0.045957654378604634
hu_vt16,Hu: van Tiel et al. (2016),39,rate_only,3.0,0.04459122735688337,0.08669912155636568,0.12805917005925782,0.1316416424474531,-0.01864820740583301,0.04827549641575918,0.08861565229005841
rnx_esi,Ronai & Xiang (2024): ESI,60,exact,1.0,,,0.14268456869608123,0.13142166381212067,0.15267174075030135,0.16618974842130682,0.14711803414666977
rnx_eweak,Ronai & Xiang (2024): Eweak,60,exact,1.0,,,-0.11696305944980856,-0.1330541599640221,-0.043876242695196896,-0.10993812327133536,-0.0787426569326971
rnx_estrong,Ronai & Xiang (2024): Estrong,60,exact,1.0,,,-0.26751495859477026,-0.3175395154646156,0.05085092048604254,-0.13646286795319595,-0.08537709475858844
rnx_eonly,Ronai & Xiang (2024): Eonly,60,exact,1.0,,,0.11161359702411046,0.10471923900235658,0.10374464996278868,0.1314989579576792,0.10011901340390807
rnx_eonlystrong,Ronai & Xiang (2024): Eonlystrong,60,exact,1.0,,,-0.18979019297586175,-0.21814328567069546,-0.05430715311853292,-0.14543241200029713,-0.14649953167931415
novel_focus,Novel focus alternatives,480,exact,1.0,,0.5169821787725623,0.601895201386267,0.6032402523458111,0.5102829526194437,0.5956675220290648,0.6103637892946453
